,mean_shap,mean_abs_shap
ENSG00000133433.11,-0.13188624,0.38354063
ENSG00000131080.15,-0.08639833,0.28247264
ENSG00000080200.10,-0.053096794,0.23409681
ENSG00000144485.11,-0.06954536,0.2014856
ENSG00000164530.15,-0.054889884,0.18829493
ENSG00000175920.18,-0.0797697,0.18204793
ENSG00000144935.15,-0.04629974,0.18142015
ENSG00000109906.14,-0.052884858,0.1764083
ENSG00000112414.15,-0.08267461,0.17300679
ENSG00000012171.20,-0.07882224,0.16601744
ENSG00000196159.14,-0.028564295,0.16129215
ENSG00000136999.5,-0.055799875,0.1563444
ENSG00000232352.1,-0.06768024,0.15554982
ENSG00000149231.15,-0.04706149,0.1535679
ENSG00000273619.1,-0.081791624,0.15302306
ENSG00000125740.14,-0.054247726,0.15123042
ENSG00000103253.19,-0.039873704,0.1473079
ENSG00000182685.7,-0.07322547,0.14204143
ENSG00000204618.8,-0.05831285,0.13995548
ENSG00000136490.9,-0.061812207,0.1340999
ENSG00000196890.4,-0.08118119,0.12881424
ENSG00000161996.19,-0.03521761,0.12668602
ENSG00000127663.15,-0.07021468,0.12663919
ENSG00000174871.11,-0.045865614,0.1236556
ENSG00000248367.1,-0.05962131,0.1230133
ENSG00000084628.10,-0.0581234,0.12021911
ENSG00000157150.5,-0.06326858,0.11092555
ENSG00000167874.7,-0.041599575,0.110837705
ENSG00000093009.11,-0.050249092,0.110689655
ENSG00000183682.8,-0.06488513,0.10558889
ENSG00000144366.16,-0.027688721,0.102223486
ENSG00000122591.12,-0.026865175,0.09919335
ENSG00000121753.12,-0.054964267,0.09587582
ENSG00000182916.8,-0.030048152,0.09318363
ENSG00000169946.14,-0.06522419,0.09119952
ENSG00000141519.15,-0.06458597,0.09099535
ENSG00000167964.13,-0.04047717,0.090827115
ENSG00000038295.8,-0.05659963,0.09029493
ENSG00000168497.5,-0.04233622,0.087604746
ENSG00000104951.16,-0.045156978,0.086793646
ENSG00000105219.10,-0.04858636,0.08646282
ENSG00000164318.18,-0.039607767,0.08605717
ENSG00000169252.6,-0.007988982,0.08174436
ENSG00000106809.11,-0.047323678,0.08153107
ENSG00000103269.14,-0.046823934,0.08032321
ENSG00000241644.2,-0.02834796,0.079220764
ENSG00000184260.6,-0.05529521,0.07891352
ENSG00000153823.19,-0.04784618,0.07821383
ENSG00000200378.1,-0.054484025,0.077804245
ENSG00000197635.11,-0.049407087,0.07695365
ENSG00000124507.11,-0.054576166,0.0759701
ENSG00000174788.10,-0.031201312,0.07434512
ENSG00000132561.14,-0.02661554,0.07233487
ENSG00000167702.13,-0.052773416,0.0719292
ENSG00000206538.9,-0.023376174,0.07179724
ENSG00000117016.10,-0.044751823,0.070126094
ENSG00000106852.15,-0.040940296,0.06887893
ENSG00000108106.14,-0.026722467,0.06732059
ENSG00000178773.15,-0.04340725,0.06667541
ENSG00000105519.18,-0.04023046,0.06598172
ENSG00000004838.14,-0.049275596,0.064773284
ENSG00000127586.17,-0.046203878,0.06468538
ENSG00000170962.13,-0.027215801,0.061659407
ENSG00000204052.4,-0.034504954,0.061242685
ENSG00000213347.10,-0.03664272,0.061005984
ENSG00000108924.14,-0.024598656,0.060655676
ENSG00000196616.14,-0.043400217,0.06039382
ENSG00000130962.18,-0.041825347,0.05785674
ENSG00000188833.10,-0.023728577,0.055452444
ENSG00000152527.14,-0.033369493,0.055318024
ENSG00000138722.10,-0.019280128,0.054936405
ENSG00000151651.16,-0.01483235,0.053825717
ENSG00000140285.12,-0.02730983,0.052030917
ENSG00000165072.10,-0.022026602,0.05126635
ENSG00000160188.10,-0.026073838,0.049059477
ENSG00000185522.9,-0.02740124,0.048757788
ENSG00000106004.5,-0.026635652,0.048150465
ENSG00000154734.16,-0.037033178,0.045415923
ENSG00000186185.14,-0.028704172,0.044966623
ENSG00000166578.10,-0.0356243,0.044398174
ENSG00000106511.6,-0.023450024,0.04386038
ENSG00000131386.19,-0.027593559,0.04195235
ENSG00000101222.12,-0.027185315,0.040166028
ENSG00000177363.5,-0.01551036,0.039951563
ENSG00000144642.22,-0.022829521,0.03923324
ENSG00000125967.17,-0.022752548,0.038391706
ENSG00000155367.15,-0.032022826,0.03838468
ENSG00000228201.1,-0.024771724,0.03570626
ENSG00000120693.14,-0.028426083,0.03544049
ENSG00000160298.18,-0.020377118,0.034916554
ENSG00000112964.14,-0.025624352,0.033876013
ENSG00000165124.18,-0.022720985,0.03351943
ENSG00000115252.18,-0.015136074,0.03260048
ENSG00000135218.19,-0.021477962,0.03053734
ENSG00000149451.18,-0.016662281,0.02978948
ENSG00000138356.14,-0.023411715,0.029430605
ENSG00000127329.16,-0.016506234,0.029030317
ENSG00000136160.17,-0.018657206,0.028102893
ENSG00000276365.1,-0.021009983,0.028038349
ENSG00000154330.13,-0.008265727,0.015603328
